M.hi,M.lo,MET.hi,MET.lo,MET.sp,SEC.hi,SEC.lo,M,MET,SEC,T
458,1455,2037,3437,468,156,544,1913,5942,700,8555
477,1756,1700,3436,464,151,624,2233,5600,775,8608
539,2296,1747,3304,490,178,611,2835,5541,789,9165
687,3240,2371,3864,657,217,646,3927,6892,863,11682
389,2252,1741,3406,439,141,624,2641,5586,765,8992
399,1901,2072,3418,453,149,610,2300,5943,759,9002
392,1939,2353,3553,423,134,623,2331,6329,757,9417
417,1999,2909,3376,408,148,599,2416,6693,747,9856
568,1798,3204,3233,501,195,551,2366,6938,746,10050
583,1558,2395,3262,481,170,539,2141,6138,709,8988
559,1705,2442,3361,558,177,572,2264,6361,749,9374
499,1705,2297,3461,620,183,603,2204,6378,786,9368
521,1649,1752,3158,513,176,620,2170,5423,796,8389
485,1401,1581,3005,511,160,566,1886,5097,726,7709
474,1602,1495,2996,446,155,572,2076,4937,727,7740
439,1509,1860,3166,470,170,553,1948,5496,723,8167
532,1927,2901,3374,595,197,581,2459,6870,778,10107
379,1925,2900,3174,552,186,569,2304,6626,755,9685
346,1534,2846,3043,467,188,551,1880,6356,739,8975
452,1687,2352,2858,447,168,572,2139,5657,740,8536
530,1899,3017,3008,552,162,561,2429,6577,723,9729
484,1725,3641,3055,506,155,540,2209,7202,695,10106
506,1439,3740,3116,525,131,596,1945,7381,727,10053
482,1476,3690,3190,524,152,555,1958,7404,707,10069
445,1395,3635,3044,525,159,566,1840,7204,725,9769
469,1243,3222,2878,567,157,527,1712,6667,684,9063
476,1217,2678,2928,547,159,508,1693,6153,667,8513
526,1171,2360,3054,621,160,538,1697,6035,698,8430
494,1215,2015,3074,544,157,570,1709,5633,727,8069
418,1174,1712,3001,570,151,571,1592,5283,722,7597
433,1319,1641,2999,538,148,600,1752,5178,748,7678
350,1316,1582,2665,511,146,549,1666,4758,695,7119
385,1511,1662,2901,495,150,592,1896,5058,742,7696
425,1589,1716,3062,476,147,592,2014,5254,739,8007
571,1383,2359,3075,520,170,545,1954,5954,715,8623
535,1446,2565,3057,544,154,570,1981,6166,724,8871
430,1464,2761,2965,521,151,535,1894,6247,686,8827
412,1368,2927,2930,447,116,555,1780,6304,671,8755
450,1493,3633,3036,533,155,533,1943,7202,688,9833
480,1143,3096,3086,480,128,554,1623,6662,682,8967
536,1144,3229,3041,544,152,558,1680,6814,710,9204
510,1223,2681,2968,525,135,565,1733,6174,700,8607
484,1269,2005,2939,468,150,522,1753,5412,672,7837
409,1169,1988,2934,458,148,532,1578,5380,680,7638
448,1332,2227,2955,492,146,549,1780,5674,695,8149
471,1299,2810,3049,613,165,615,1770,6472,780,9022
515,1348,3316,3023,573,162,589,1863,6912,751,9526
481,1205,3954,2873,577,152,541,1686,7404,693,9783
564,1521,4202,3837,575,190,619,2085,8614,809,11508
654,1670,4306,3963,580,197,684,2324,8849,881,12054
535,1195,3588,3044,542,178,525,1730,7174,703,9607
488,1126,2949,3019,521,178,534,1614,6489,712,8815
433,1356,3190,3453,531,165,603,1789,7174,768,9731
407,1444,3023,3028,504,150,646,1851,6555,796,9202
484,1386,2792,3133,477,154,654,1870,6402,808,9080
474,1543,3280,3841,550,180,724,2017,7671,904,10592
456,1141,1440,3102,470,127,514,1597,5012,641,7250
450,1008,1421,2917,452,135,527,1458,4790,662,6910
348,1178,1502,3099,474,142,551,1526,5075,693,7294
370,1182,1841,2943,454,151,574,1552,5238,725,7515
395,1196,2363,2716,536,156,563,1591,5615,719,7925
483,1101,2781,2759,573,157,579,1584,6113,736,8433
455,1067,4145,3031,530,170,545,1522,7706,715,9943
420,1072,4358,2939,514,156,566,1492,7811,722,10025
419,1344,4288,3063,547,161,571,1763,7898,732,10393
468,1237,3796,2911,525,154,591,1705,7232,745,9682
500,1231,3057,3005,523,145,544,1731,6585,689,9005
509,1425,2336,3043,491,146,559,1934,5870,705,8509
586,1500,2822,3665,597,193,618,2086,7084,811,9981
501,1256,1607,2976,542,176,563,1757,5125,739,7621
448,1328,1795,2954,581,171,573,1776,5330,744,7850
407,1335,1973,3010,570,157,543,1742,5553,700,7995
459,1310,2768,3017,564,162,583,1769,6349,745,8863
434,1307,2588,3057,550,155,580,1741,6195,735,8671
